id,place_name,average_rating,granular_category,lat,lng
1,Uzzal Zoo,N\A,zoo,24.6732502,46.7099585
2,BLVD Forest ,4.2,zoo,24.7785879,46.5996631
3,King Salman Park,4.2,park,25.0046203,46.6008997
4,The Ranch - Nature Escape,5,zoo,24.9164423,46.8419653
5,Riyadh Zoo,4.2,zoo,24.675257,46.7375276
6,Royal Mall,3.9,shopping_mall,24.7236772,46.6649343
7,Alia Plaza,4.2,shopping_mall,24.8089389,46.6692442
8,Ala Kaifak,3.9,shopping_mall,24.7849158,46.750694
9,Cenomi Al Hamra Mall,4.4,shopping_mall,24.774327,46.776434
10,Kingdom Centre,4.4,shopping_mall,24.7122005,46.6755206
11,Tafaseel Center,3.9,shopping_mall,24.6951192,46.6696358
12,Sahara Mall,4,shopping_mall,24.7400274,46.682203
13,Riyadh Gallery Mall,4.3,shopping_mall,24.7436082,46.6580521
14,Centria Mall,4.3,shopping_mall,24.6975045,46.6839733
15,Saniya Center,3.6,shopping_mall,24.72639,46.7788528
16,Al Nada Plaza,4.1,shopping_mall,24.8061022,46.6927943
17,Cenomi Tala Mall,4.1,shopping_mall,24.771959,46.668189
18,Cenomi Al Nakheel Mall,4.4,shopping_mall,24.767943,46.714936
19,Yasmin Plaza,4.2,shopping_mall,24.823449,46.6557759
20,Othaim Mall,4.3,shopping_mall,24.6856632,46.7754282
21,The Boulevard Riyadh,4.2,shopping_mall,24.7505625,46.6134375
22,AlMaather Square,4.3,shopping_mall,24.6644158,46.6826704
23,Hittin Square,4.2,shopping_mall,24.7529087,46.6098752
24,sky mall,3.7,shopping_mall,24.6929931,46.8084868
25,Alshorog park ,4.4,park,24.6766878,46.7099543
26,Fog Garden,4.2,park,24.674793,46.7016682
27,Wadi Namar,4.6,park,24.5733236,46.6896194
28,Riyad karsi farm,N\A,park,24.7135517,46.6752957
29,Al Shaeeb Park,4.1,park,24.571981,46.6883414
30,Children's Hospital Garden,4.1,park,24.7537155,46.860528
