id,place_name,is_restaurant,categories,average_rating,rate_count,granular_category,lat,lng,place_id
1,Shawarma Alaz,RESTAURANT,Sandwich|Fast Food|Shawarma,3,3,restaurants,24.6451181,46.7176402,ChIJAUrpSq0FLz4RVPdqQsL3jH4
2,Eben Ezar,RESTAURANT,Asian|Japanese,3.2,5,restaurants,24.6466308,46.7176585,ChIJ8VB3wFIELz4RYKzNXvz5MhY
3,Chowking,RESTAURANT,Noodles,4.5,305,restaurants,24.646194,46.717444,ChIJ8VB3wFIELz4RYKzNXvz5MhY
4,100 islands delights,RESTAURANT,Asian|Seafood,4.4,239,restaurants,24.6463337,46.7173288,ChIJ8VB3wFIELz4RYKzNXvz5MhY
5,CUSINA Cafe,RESTAURANT,Coffee,4.7,19,restaurants,24.6456276,46.71711,ChIJOYtO2lIELz4Rkh25zR8ZjfA
6,Jollibee,RESTAURANT,Fast Food|American,4.7,167,restaurants,24.64646655,46.71722455,ChIJ8VB3wFIELz4RYKzNXvz5MhY
7,Lapaz Batchoy,RESTAURANT,Grill|Asian|Seafood|Noodles,4.3,70,restaurants,24.646476,46.71719,ChIJ8VB3wFIELz4RYKzNXvz5MhY
8,Sushi Cutie,RESTAURANT,Asian,5,1,restaurants,24.6464123,46.7166802,ChIJKwIR_VIELz4RfQShDGjC-fE
9,Uncle Majid,RESTAURANT,Grill|Asian|Seafood|Noodles,4.5,19,restaurants,24.6469306,46.7168046,ChIJ11ro-FIELz4RHJu9SRtKXe0
10,CUSINA,RESTAURANT,Grill|Seafood,3.9,7,restaurants,24.6463114,46.7166197,ChIJKwIR_VIELz4RfQShDGjC-fE
11,Sushi Cutie,RESTAURANT,Asian,1,1,restaurants,24.6463114,46.7166197,ChIJKwIR_VIELz4RfQShDGjC-fE
12,Soft Stream Sushi,RESTAURANT,Asian,5,3,restaurants,24.6463114,46.7166197,ChIJKwIR_VIELz4RfQShDGjC-fE
13,Manga Al Zaeem For Juices,RESTAURANT,Desserts|Beverages|Juices,3.8,113,restaurants,24.6379299,46.7205781,ChIJ-S_9XLAFLz4R5pMd6Geb-i8
14,Classic Restaurant,RESTAURANT,Arabic|Indian,4.1,203,restaurants,24.64002322,46.71721662,ChIJL9BYdq4FLz4RsVxAfXcBSOA
15,Jareer Sweet,RESTAURANT,Desserts,4.5,37,restaurants,24.635669,46.71465,ChIJcdJvR68FLz4R9MuyFdq-Y-k
16,BANA,OTHER,Beauty &amp; Perfume,0,0,beauty,24.633701,46.7169456,ChIJW-YdCaUFLz4RPSi4KcmOOSI
17,Jasmine restaurant,RESTAURANT,Sandwich|Fast Food|American|Breakfast,3.8,32,restaurants,24.6307508,46.7172575,ChIJJ-LG9aQFLz4RlTu64Tzjujg
18,Delta pharmacy,OTHER,Pharmacy,4.7,148,pharmacies,24.660926,46.725106,ChIJPRNk5UYELz4RvAhTfJVpkdc
19,Adam pharmacy,OTHER,Pharmacy,4.8,274,pharmacies,24.650239,46.706105,ChIJm5ylz_kELz4RnlfNO34A9aQ
20,Al Rasheed Pastries,RESTAURANT,Desserts,4.5,35,restaurants,24.651384,46.706471,ChIJfdUWcfcELz4Rdx_cbWRQIDM
21,DNP,OTHER,Health &amp; Wellness,5,5,health_and_wellness,24.6618024,46.7294133,ChIJSZ7JmjgELz4R_di6JRHyMJA
22,Knafet Al Bagajati,RESTAURANT,Desserts|Arabic|American,5,4,restaurants,24.6578829,46.7102456,ChIJI5TZFF8ELz4R_dIXPvftc2w
23,Saadeddin pastry,RESTAURANT,Desserts|Arabic|Bakery|Ice Cream,4.4,322,restaurants,24.6578829,46.7102456,ChIJI5TZFF8ELz4R_dIXPvftc2w
24,Mehamar w Meshmar,RESTAURANT,Sandwich|Arabic|Lebanese,3,2,restaurants,24.65801685,46.71026321,ChIJI5TZFF8ELz4R_dIXPvftc2w
25,Alharfoosh,RESTAURANT,Fast Food|Arabic,0,0,restaurants,24.65801685,46.71026321,ChIJI5TZFF8ELz4R_dIXPvftc2w
26,Rihanna Of the house,RESTAURANT,Arabic,3.6,7,restaurants,24.65801685,46.71026321,ChIJI5TZFF8ELz4R_dIXPvftc2w
27,ANJAPPAR,RESTAURANT,Fast Food|Indian,4.3,361,restaurants,24.6619838,46.7295868,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
28,Furan Al Dayaa,RESTAURANT,Sandwich|Arabic|Bakery,4.5,1170,restaurants,24.662272,46.729495,ChIJNe_FvTgELz4RjI64lVzheXQ
29,Starbucks®,RESTAURANT,Desserts|Bakery|Beverages|Coffee|Breakfast|Roastery,4.4,413,restaurants,24.66256968,46.72981895,ChIJNe_FvTgELz4RjI64lVzheXQ
30,NG Beauty,OTHER,Beauty &amp; Perfume,0,0,beauty,24.6404235,46.7027962,ChIJd7fE9P0ELz4RDUkM3vKxxXI
31,Herfy,RESTAURANT,Sandwich|Fast Food|Burgers,4.3,559,restaurants,24.637908,46.703138,ChIJz3SCMwIFLz4RmbzvnNYAk90
32,HungerStation Market,OTHER,Supermarkets,4.7,7679,darkstores,24.665707,46.728111,ChIJfz5AhkAELz4RDtan6zxHkJM
33,Bab Sharqi Coffee,RESTAURANT,Desserts|Beverages|Coffee|Juices,4.5,26,restaurants,24.644532,46.700351,ChIJ1ZGyW_sELz4RTkcAXbqPlLQ
34,Everyday Coffee Roastery,RESTAURANT,Desserts|Beverages|Coffee,4.4,1955,restaurants,24.6658529,46.7284382,ChIJW9a_fkAELz4RM_Mu5N8K1sk
35,Methaas Bakery &amp; Desserts,RESTAURANT,Fast Food|Desserts|Bakery|Indian,0,0,restaurants,24.6289679,46.7393167,ChIJZYOC3uUFLz4Rw5zx3GgnLQQ
36,Kudu,RESTAURANT,Sandwich|Fast Food|Grill|Burgers|Breakfast,4.2,377,restaurants,24.666438,46.724525,ChIJW6Li4kEELz4RDTDAZ6EaDSs
37,Alkhafeef,RESTAURANT,Grill|Arabic|Bakery,4.4,111,restaurants,24.66645625,46.7246701,ChIJW6Li4kEELz4RDTDAZ6EaDSs
38,Juice Time,RESTAURANT,Beverages|Juices,4.6,580,restaurants,24.665279,46.7314387,ChIJK-CGxD4ELz4RfKZsNZThX10
39,Maestro Pizza,RESTAURANT,Fast Food|Italian|International|Pizza,4.3,290,restaurants,24.66614,46.7308,ChIJu-KH_j4ELz4RJ9AOEeQRIJw
40,Pinzatta,RESTAURANT,Sandwich|Fast Food|Italian|Healthy|Pizza,4.2,25,restaurants,24.66614135,46.7308491,ChIJu-KH_j4ELz4RJ9AOEeQRIJw
41,Mad Pizza,RESTAURANT,Desserts|Italian|American|Beverages|International|Pizza,3.9,50,restaurants,24.6661706,46.7309242,ChIJu-KH_j4ELz4RJ9AOEeQRIJw
42,Red Chilli,RESTAURANT,Grill|Seafood|Indian,4.5,233,restaurants,24.665103,46.710423,ChIJg2nfvWEELz4R3pJPlqd98O0
43,Red Cherry For Sweets,RESTAURANT,Desserts|Indian,4.6,218,restaurants,24.66536106,46.71036925,ChIJsah7lGEELz4RH3JOHpE2KV0
44,Hamburgini Burger,RESTAURANT,Sandwich|Burgers,4.1,1422,restaurants,24.668276,46.730204,ChIJjWl44D8ELz4Ru_JK1oUrOiE
45,Green Health,OTHER,Pharmacy,4.8,79,pharmacies,24.6574337,46.7008237,ChIJBazwFI0ELz4RQiONKjAnuTE
46,Eletna Restaurant,RESTAURANT,Sandwich|Beverages|Falafel,5,3,restaurants,24.6675753,46.7333194,ChIJw3QygD4ELz4RjP4Gp0FiGrc
47,Kaaket Falafel,RESTAURANT,Sandwich|Fast Food|Arabic|Egyptian|Falafel,3.6,5,restaurants,24.6675753,46.7333194,ChIJw3QygD4ELz4RjP4Gp0FiGrc
48,Mission Falafel - Riyadh,RESTAURANT,Sandwich|Arabic|Falafel|Breakfast,3.8,87,restaurants,24.66766105,46.73320251,ChIJw3QygD4ELz4RjP4Gp0FiGrc
49,Hashem,RESTAURANT,Sandwich|Fast Food|Arabic|Falafel,4.4,732,restaurants,24.667725,46.733273,ChIJw3QygD4ELz4RjP4Gp0FiGrc
50,SHALIMAR MUMTAZ RESTAURANT &amp; BAKERS,RESTAURANT,Indian,4.1,378,restaurants,24.6678035,46.7117402,ChIJ6RHxzWMELz4RCyAA0_Pd5n0
51,Ponnusamy,RESTAURANT,Asian|Indian|Vegetarian|Noodles,4,181,restaurants,24.6635425,46.7044087,ChIJ46ZC7YsELz4RVg1DtLLeWM8
52,Al Karama Sweets,RESTAURANT,Desserts,4.1,32,restaurants,24.669576,46.731899,ChIJF_VhiRUELz4Rra98hc8ZgQE
53,Al Mehbaj,RESTAURANT,Roastery,4.7,34,nuts_and_dried_fruits,24.66385214,46.70385649,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
54,Salman Sweets,RESTAURANT,Desserts|Indian|Pakistani,3.3,22,restaurants,24.6692098,46.712534,ChIJIWQBpWMELz4RWHcaGm4ixO0
55,Al Mamlakah Sweets,RESTAURANT,Desserts|Pastries,4.7,41,restaurants,24.670622,46.730931,ChIJVdR7DxUELz4RgC2RTnI5D0c
56,Mugo land,RESTAURANT,Roastery,4.7,50,specialty_and_ethnic,24.6437536,46.6933715,ChIJh6EV9uYELz4R0XnA6v1M1L4
57,Wahat Al Aseer,RESTAURANT,Beverages|Juices,3,4,restaurants,24.6170456,46.7227435,ChIJoWqBbo4FLz4RHk3YWuICeCQ
58,Pizza Hut,RESTAURANT,Fast Food|Italian|Beverages|International|Pizza|Pasta|Salads,4.2,435,restaurants,24.6759146,46.7274594,ChIJH4d_Fm0ELz4RnJK_3-bX6RM
59,Tim Horton,RESTAURANT,Fast Food|Coffee,4.2,162,restaurants,24.666095,46.697692,ChIJt1RqbJAELz4Rj0i4_YJHynQ
60,Wasfa Pharmacy,OTHER,Pharmacy,4.7,115,pharmacies,24.62024364,46.70183612,ChIJXYgA1XIFLz4RLLzqyrylYHQ
61,Baja,RESTAURANT,Beverages|Coffee|Roastery,4.7,168,restaurants,24.67701,46.727088,ChIJF0WJZm0ELz4R76aHdcTLM4I
62,Cinnabon,RESTAURANT,Desserts|Beverages,4.2,310,restaurants,24.630152,46.691963,ChIJURC34RgFLz4RLXSHgmwrrL4
63,Golden Konafa,RESTAURANT,Desserts,4.6,27,restaurants,24.618341,46.745459,ChIJQXaZBf8FLz4RWZkh1_wOkY4
64,Ranosh,RESTAURANT,Sandwich|Coffee|Juices,4.7,72,restaurants,24.629651,46.691035,ChIJN9DTwRgFLz4R4zs5o7ApbRs
65,Sham sweets,RESTAURANT,Desserts,5,5,restaurants,24.6129625,46.710251,ChIJpfAev4IFLz4RVK0aXeWKndQ
66,Mille Feuille,RESTAURANT,Sandwich|Pastries,4.2,84,restaurants,24.679129,46.729099,ChIJK4bHOA0ELz4RbDqxt2kLxB8
67,SETTE,RESTAURANT,Sandwich|Desserts|American,4.8,72,restaurants,24.6793517,46.71910372,ChIJ2VAGUXcELz4RA_8_PgDg4LU
68,Serrano,RESTAURANT,Arabic,1.8,4,restaurants,24.6793712,46.7190769,ChIJ2VAGUXcELz4RA_8_PgDg4LU
69,Sweets Corner,RESTAURANT,Desserts,4.5,35,restaurants,24.679418,46.719377,ChIJ2VAGUXcELz4RA_8_PgDg4LU
70,Asian Taste,RESTAURANT,Asian,4,37,restaurants,24.6793506,46.7305577,ChIJE4wLcw0ELz4RYtIamVm-BGk
71,Meat Hub,RESTAURANT,Butchery &amp; Fishery,4.5,107,Butchery,24.677319,46.7080019,ChIJn8Xbk4AELz4RgVPSaddVpi0
72,Tanur Alfatirat Aldimashqiya,RESTAURANT,Sandwich|Arabic|Pizza|Pastries,4.2,178,restaurants,24.6699126,46.7511926,ChIJz5OYXJwGLz4Rj5FZQ7QUgZ4
73,Tolv,RESTAURANT,Sandwich|Desserts|Bakery|Breakfast,4.6,11,restaurants,24.6803565,46.7191064,ChIJmwY-X3cELz4RZ6NC1VARCJM
74,Karam Hommus Restaruant,RESTAURANT,Grill|Arabic|Pizza|Pastries,3.5,16,restaurants,24.654253,46.744504,ChIJe-AxxtQFLz4R70ZtBtXzxFo
75,Falafel Arafah,RESTAURANT,Sandwich|Fast Food|Arabic,4.1,116,restaurants,24.65533,46.744013,ChIJUbW6ytQFLz4RzcSaFquXF0Y
76,Qasr Al Rukn Al Shami,RESTAURANT,Grill|Arabic|Breakfast|Pastries,4.5,17,restaurants,24.637439,46.701838,ChIJH0RAVgIFLz4RwHJ7PdeA-pg
77,Pizza Corner,RESTAURANT,Fast Food|Beverages,4.6,85,restaurants,24.654863,46.744373,ChIJe-AxxtQFLz4R70ZtBtXzxFo
78,Anbar Al Sham,RESTAURANT,Arabic|Shawarma|Breakfast|Pastries,4.3,280,restaurants,24.654553,46.744566,ChIJe-AxxtQFLz4R70ZtBtXzxFo
79,Minha Multicuisine,RESTAURANT,Arabic,4.2,125,restaurants,24.6663537,46.7251639,ChIJW6Li4kEELz4RDTDAZ6EaDSs
80,Square house cafe -,RESTAURANT,Arabic|Coffee,5,1,restaurants,24.65811443,46.70503587,ChIJv2bqkvQELz4RbwepTtpz4pU
81,Mahboob,RESTAURANT,Sandwich|Beverages|Shawarma,4.4,453,restaurants,24.665218,46.731444,ChIJK-CGxD4ELz4RfKZsNZThX10
