id,place_name,average_rating,granular_category,lat,lng
1,lion's den,N\A,zoo,24.6781717,46.7371186
2,Riyadh zoo enchanted forest,4.5,zoo,24.6772285,46.7364923
3,Uzzal Zoo,N\A,zoo,24.6732502,46.7099585
4,BLVD Forest ,4.2,zoo,24.7785879,46.5996631
5,Giraffe/zebra zone,4.3,zoo,24.6774256,46.7360008
6,Elephant zone - Riyadh Zoo,4.4,zoo,24.6768901,46.738203
7,Tiger zone - Riyadh Zoo,4.3,zoo,24.6781572,46.7369354
8,King Salman Park,4.2,park,25.0046203,46.6008997
9,The Ranch - Nature Escape,5,zoo,24.9164423,46.8419653
10,Riyadh Zoo,4.2,zoo,24.675257,46.7375276
11,Royal Mall,3.9,shopping_mall,24.7236772,46.6649343
12,Alia Plaza,4.2,shopping_mall,24.8089389,46.6692442
13,Ala Kaifak,3.9,shopping_mall,24.7849158,46.750694
14,Cenomi Al Hamra Mall,4.4,shopping_mall,24.774327,46.776434
15,Kingdom Centre,4.4,shopping_mall,24.7122005,46.6755206
16,Tafaseel Center,3.9,shopping_mall,24.6951192,46.6696358
17,Sahara Mall,4,shopping_mall,24.7400274,46.682203
18,Riyadh Gallery Mall,4.3,shopping_mall,24.7436082,46.6580521
19,Centria Mall,4.3,shopping_mall,24.6975045,46.6839733
20,Saniya Center,3.6,shopping_mall,24.72639,46.7788528
21,Al Nada Plaza,4.1,shopping_mall,24.8061022,46.6927943
22,Cenomi Tala Mall,4.1,shopping_mall,24.771959,46.668189
23,Cenomi Al Nakheel Mall,4.4,shopping_mall,24.767943,46.714936
24,Yasmin Plaza,4.2,shopping_mall,24.823449,46.6557759
25,Othaim Mall,4.3,shopping_mall,24.6856632,46.7754282
26,The Boulevard Riyadh,4.2,shopping_mall,24.7505625,46.6134375
27,AlMaather Square,4.3,shopping_mall,24.6644158,46.6826704
28,Hittin Square,4.2,shopping_mall,24.7529087,46.6098752
29,sky mall,3.7,shopping_mall,24.6929931,46.8084868
30,Alshorog park ,4.4,park,24.6766878,46.7099543
31,Fog Garden,4.2,park,24.674793,46.7016682
32,Wadi Namar,4.6,park,24.5733236,46.6896194
33,Riyad karsi farm,N\A,park,24.7135517,46.6752957
34,Al Shaeeb Park,4.1,park,24.571981,46.6883414
35,Children's Hospital Garden,4.1,park,24.7537155,46.860528
36,The Big Brown,N\A,park,24.7135517,46.6752957
37,MC park,3.5,park,24.7549864,46.8668359
38,Wadi Namar Street View,4.6,park,24.5703869,46.6727275
39,King Salman Science Oasis,4.3,park,24.7042283,46.7000134
40,Al Wizarat Park,N\A,park,24.6761033,46.7101383
41,KSAU-HS HOUSING PARK,N\A,park,24.762463,46.8682223
42,Hanifa Valley,4.2,park,24.5515014,46.7417103
43,Valley area,5,park,24.5730463,46.6844149
44,Bader district third park,3.8,park,24.5545726,46.7029177
45,Water Stream Area,4.2,park,24.5808658,46.6971912
46,Wadi hanifa,N\A,park,24.580381,46.6975339
47,Badr Fourth Park,4,park,24.5637374,46.7138393
48,Green land,4,park,24.7135517,46.6752957
49,Badr Third Park,5,park,24.5545215,46.7029965
50,Wadi Namar Dam,4.6,park,24.5745828,46.6861415
51,Wadi Namar,4,park,24.5749572,46.6878102
52,Wadi Namar Start point upperside,5,park,24.5729454,46.6860564
53,Lake Park Namar Dam,4.2,park,24.5709336,46.6733434
54,Al-Safwa Garden,3.7,park,24.7457642,46.8475109
55,Park,4.5,park,24.7462205,46.8482197
56,Garden Shubra First,3.9,park,24.5849376,46.6824632
57,Ishbiliyah 2nd park,4.1,park,24.7943169,46.7894968
58,Square Casablanca ALdar AlBaida,4,park,24.5630389,46.7759282
59,Third-Shifa neighborhood park,4.1,park,24.5605992,46.7037901
60,"General Al Khaleej dist, Park",3.7,park,24.7748141,46.7924663
61,Ishbiliyah Park,4,park,24.8034424,46.8081824
62,Alsofwah Park,2.8,park,24.7449089,46.8459372
63,Alkaleej District Park,3.8,park,24.7819923,46.8241015
64,Almaizilah Park,4.3,park,24.7797158,46.8353622
65,Al-Muaizilah District Park,4.2,park,24.7797486,46.8351307
66,Al Nahda Second Park,4,park,24.7761372,46.828463
67,Small Children Park,4.1,park,24.6774369,46.7201622
68,Olaya park,4.1,park,24.705392,46.7091565
69,Olaya park,N\A,park,24.7052982,46.708884
70,"Al Olaya, Park",4.2,park,24.680487,46.6825655
71,Garden and Playground,4,park,24.5816011,46.7718095
72,Spring Park,3.7,park,24.5776106,46.7829998
73,Al-Amariya view,3.3,park,24.7135517,46.6752957
74,Alrimal Park,3.9,park,24.5832302,46.606902
75,Jax Park,3.7,park,24.7457942,46.5384899
76,Al samhaniya,5,park,24.7481198,46.5363345
77,Al bujairy,N\A,park,24.7481198,46.5363345
78,King Abdulaziz Park,4.9,park,24.855002,46.6961821
79,ALMAJDIAH 144,4.5,park,24.8685984,46.6498298
80,Al Multaqa Park,4.4,park,24.8562922,46.6507813
81,Masharef Hills ,5,park,24.8736017,46.6448468
82,Al Naseem West District Park,4.7,park,24.7322325,46.8315528
83,Al Khaldiyah Park,3.8,park,24.6156283,46.7643741
84,Manfoha Park,3.6,park,24.6139501,46.720618
85,hattab Park,N\A,park,24.8038683,46.8447523
86,First Nahda District Park,3.4,park,24.7640466,46.8211159
87,Al Naseem District Park,3.3,park,24.7327856,46.8374466
88,Al Naseem 10th District Park,N\A,park,24.7466871,46.8203825
89,Matwiyah Park,4.5,park,24.737959,46.5754698
90,AlHejailan Farm - Al Wasita,4.5,park,24.7290623,46.5691845
91,Lake Hanifa Valley - Dam stone,4.5,park,24.5712879,46.7219426
92,Manakh King Abdulaziz Park,3.9,park,24.6177403,46.7726395
93,King Abdulaziz park,4.5,park,24.6172461,46.7723085
94,AlWedad Garden,3.3,park,24.8987019,46.6376053
95,Dhahrat Laban Park,5,park,24.6420998,46.5563503
96,Bader Park,3.8,park,24.5557384,46.7208061
97,Dhahrat Laban Park,3.8,park,24.6368108,46.5542205
98,Al Bujairi Park Garden,2.9,park,24.7389139,46.5732472
99,Jawzat Ad Diriyah Park,4.3,park,24.7379716,46.5730984
100,Park,4.5,park,24.7490698,46.5697356
101,Lake park Riyadh,N\A,park,24.7135517,46.6752957
102,Eastern Dhahrat Laban Park,3.7,park,24.6554784,46.5713831
103,Al Bujairi Heritage Park,4.4,park,24.7360934,46.574162
104,Al Amal Park,N\A,park,24.7494029,46.9028375
105,Nadwa Park,3.8,park,24.7970931,46.869504
106,Prince Naser Park,3.3,park,24.670616,46.6626219
107,King Salman Science Oasis,4.2,park,24.7042282,46.7000132
108,National Center for Wildlife,3.8,park,24.7022579,46.7413833
109,Wlking Area,4.8,park,24.690338,46.7057953
110,Walking area,5,park,24.6859685,46.7047221
111,Sulaymaniyah Playground,3.9,park,24.6945566,46.7120142
112,Park,N\A,park,24.6717342,46.6746526
113,Garden,3.3,park,24.6696142,46.6758445
114,Garden,5,park,24.6693879,46.6779584
115,Taybah Park,3.8,park,24.5544933,46.8114761
116,Al Gawza Park,3.9,park,24.6980355,46.6987103
117,King Fahad Library Park,4.3,park,24.6863562,46.6879202
118,Alsroor Park,4,park,24.6906345,46.7269618
119,Al Nazim  park,3.4,park,24.8106713,46.8794945
120,Radius Garden,4.3,park,24.6792372,46.7087683
121,Sitting Area,4.7,park,24.7019535,46.7463058
122,Carnation Park,4,park,24.6914726,46.7367262
123,Al Rayeh Garden,4,park,24.6814465,46.7045264
124,Malaz Park ,3.6,park,24.6759171,46.7313292
125,Mutanabi Park,3.8,park,24.6758559,46.7313413
126,Al Nahda Park - Start Point,3.8,park,24.7036138,46.7451501
127,Taiba Park North Side,N\A,park,24.5562696,46.8059756
128,Garden in Yarmouk district,3.8,park,24.558074,46.804613
129,King Salman Park,N\A,park,24.7088259,46.7142481
130,Shubra district park,4.2,park,24.5653676,46.6492438
131,Marwa Walk,5,park,24.5250652,46.6499961
132,Marwa Second Park,4,park,24.534338,46.6603839
133,Third Western Suwaidi Park,4,park,24.5642908,46.6366436
134,Imam Abdulrahman Alfaisal Hospital Garden,5,park,24.5276503,46.6519735
135,Owsaa Lake Park,4.7,park,24.5591486,46.652743
136,Wadi Hanifa,4.3,park,24.7198661,46.5712558
137,Park,4.6,park,24.6934793,46.5806955
138,Al Nahda Park,4,park,24.6864146,46.7549525
139,Al-Jabri Garden,N\A,park,24.7426943,46.8407774
140,Zahra Park,3.8,park,24.6891412,46.7285941
141,New Ashbilia District Park,3.6,park,24.7871993,46.7908979
142,Park Wadi Hanifa Dir'iyya,4.2,park,24.7683566,46.5325656
143,Alhadhabah Park,4,park,24.5918041,46.7801982
144,Ishbiliyah New Park,3.6,park,24.7871993,46.7908979
145,alrayyan birds,4.2,park,24.8645898,46.6160773
146,Third Arqah Park,4,park,24.6891037,46.5959261
147,Irqah Wadi Hanifa,5,park,24.6785488,46.6070573
148,Assidr Park,4.4,park,24.6811067,46.6127727
149,Assabaa Park,4.4,park,24.6841452,46.6144119
150,Irqah Park,4,park,24.6866629,46.5865183
151,Al Tarf Park,3.6,park,24.749823,46.8389082
152,Rathath Es,3.7,park,24.616188,46.709965
153,Olaisha Park,4,park,24.6294434,46.6775695
154,Fog World,3.5,park,24.616017,46.7097931
155,Wadi Hanifah,4.2,park,24.5923186,46.7048389
156,Water Park Area,4.3,park,24.5892181,46.7061458
157,"Pigeon, walking and cycling yard",4.4,park,24.5957202,46.6963175
158,Public Al-Suwaidi Garden,3.9,park,24.5970372,46.6950887
159,King Fahd District Park,4,park,24.7337732,46.674437
160,Um Al Hamam Park,3.8,park,24.7004556,46.6483678
161,AlSalem Park,4.1,park,24.7050989,46.670301
162,Cookie’s Studios,4.5,park,24.7104514,46.6747815
163,Abdul Kader Shop,3,park,24.7134546,46.6718374
